overhead_code,daycondition,NightCondition,trans_text_day,trans_text_night,lang_iso,lang_name
113,Sunny,Clear,مشمس,صافي,ar,Arabic
113,Sunny,Clear,Слънчево,Ясно,bg,Bulgarian
113,Sunny,Clear,সূর্যোজ্জ্বল,পরিষ্কার,bn,Bengali
113,Sunny,Clear,Slunečno,Jasno,cs,Czech
113,Sunny,Clear,klart,Skyfrit,da,Danish
113,Sunny,Clear,Sonnig,Klar,de,German
113,Sunny,Clear,Ηλιόλουστη/ο,Αίθριος,el,Greek
113,Sunny,Clear,Soleado,Despejado,es,Spanish
113,Sunny,Clear,Aurinkoinen,Pilvetön,fi,Finnish
113,Sunny,Clear,Ensoleillé,Clair,fr,French
113,Sunny,Clear,"धूप वाला",साफ,hi,Hindi
113,Sunny,Clear,"Napos idő",Felhőtlen,hu,Hungarian
113,Sunny,Clear,Soleggiato,Sereno,it,Italian
113,Sunny,Clear,晴れ,快晴,ja,Japanese
113,Sunny,Clear,"Srengenge Sumunar",Resik,jv,Javanese
113,Sunny,Clear,맑음,화창함,ko,Korean
113,Sunny,Clear,लख्ख,स्वच्छ,mr,Marathi
113,Sunny,Clear,Zonnig,Helder,nl,Dutch
113,Sunny,Clear,ਧੁੱਪਦਾਰ,ਸਾਫ,pa,Punjabi
113,Sunny,Clear,Słonecznie,Bezchmurnie,pl,Polish
113,Sunny,Clear,Sol,"Céu limpo",pt,Portuguese
113,Sunny,Clear,Soare,Senin,ro,Romanian
113,Sunny,Clear,Солнечно,Ясно,ru,Russian
113,Sunny,Clear,"හිරු එළිය සහිත",පැහැදිලි,si,Sinhalese
113,Sunny,Clear,Slnečno,Jasno,sk,Slovak
113,Sunny,Clear,Sunčano,Vedro,sr,Serbian
113,Sunny,Clear,Soligt,Klart,sv,Swedish
113,Sunny,Clear,வெயில்,தெளிவு,ta,Tamil
113,Sunny,Clear,ఎండకాయడం,"స్పష్టంగా ఉండటం",te,Telugu
113,Sunny,Clear,Güneşli,Açık,tr,Turkish
113,Sunny,Clear,Сонячно,Ясно,uk,Ukrainian
113,Sunny,Clear,"دھوپ والا",شفاف,ur,Urdu
113,Sunny,Clear,"Nhiều nắng","Trời quang",vi,Vietnamese
113,Sunny,Clear,晴天,晴朗,zh,"Chinese Simplified"
113,Sunny,Clear,晴天,晴朗,zh_cmn,Mandarin
113,Sunny,Clear,有阳光,晴朗,zh_hsn,Xiang
113,Sunny,Clear,晴天,晴朗,zh_tw,"Chinese Traditional"
113,Sunny,Clear,贴金,贴起好,zh_wuu,"Wu (Shanghainese)"
113,Sunny,Clear,晴天,晴朗,zh_yue,"Yue (Cantonese)"
113,Sunny,Clear,Kuyashisa,Licwathile,zu,Zulu
116,"Partly cloudy","Partly cloudy","غائم جزئياً","غائم جزئياً",ar,Arabic
116,"Partly cloudy","Partly cloudy","Частична облачност","Частична облачност",bg,Bulgarian
116,"Partly cloudy","Partly cloudy","অংশত মেঘলা","অংশত মেঘলা",bn,Bengali
116,"Partly cloudy","Partly cloudy","Částečně oblačno","Částečně oblačno",cs,Czech
116,"Partly cloudy","Partly cloudy",Letskyet,Letskyet,da,Danish
116,"Partly cloudy","Partly cloudy","leicht bewölkt","leicht bewölkt",de,German
116,"Partly cloudy","Partly cloudy","Κατά τόπους συννεφιά","Κατά τόπους συννεφιά",el,Greek
116,"Partly cloudy","Partly cloudy","Parcialmente nublado","Parcialmente nublado",es,Spanish
116,"Partly cloudy","Partly cloudy",Puolipilvinen,Puolipilvinen,fi,Finnish
116,"Partly cloudy","Partly cloudy","Partiellement nuageux","Partiellement nuageux",fr,French
116,"Partly cloudy","Partly cloudy","हल्के बादल","हल्के बादल",hi,Hindi
116,"Partly cloudy","Partly cloudy","Részben felhős","Részben felhős",hu,Hungarian
116,"Partly cloudy","Partly cloudy","Parzialmente nuvoloso","Parzialmente nuvoloso",it,Italian
116,"Partly cloudy","Partly cloudy",所により曇り,所により曇り,ja,Japanese
116,"Partly cloudy","Partly cloudy","Mendhung sebagian","Mendhung sebagian",jv,Javanese
116,"Partly cloudy","Partly cloudy","대체로 맑음","대체로 맑음",ko,Korean
116,"Partly cloudy","Partly cloudy","अंशत: ढगाळ","अंशत: ढगाळ",mr,Marathi
116,"Partly cloudy","Partly cloudy","Gedeeltelijk bewolkt","Gedeeltelijk bewolkt",nl,Dutch
116,"Partly cloudy","Partly cloudy","ਥੋੜ੍ਹਾਂ ਬੱਦਲਵਾਈ","ਥੋੜ੍ਹਾਂ ਬੱਦਲਵਾਈ",pa,Punjabi
116,"Partly cloudy","Partly cloudy","Częściowe zachmurzenie","Częściowe zachmurzenie",pl,Polish
116,"Partly cloudy","Partly cloudy","Parcialmente nublado","Parcialmente nublado",pt,Portuguese
116,"Partly cloudy","Partly cloudy","Parțial noros","Parțial noros",ro,Romanian
116,"Partly cloudy","Partly cloudy","Переменная облачность","Переменная облачность",ru,Russian
116,"Partly cloudy","Partly cloudy","අඩ වශයෙන් වළාකුළු සහිත","අඩ වශයෙන් වළාකුළු සහිත",si,Sinhalese
116,"Partly cloudy","Partly cloudy","Čiastočne oblačno","Čiastočne oblačno",sk,Slovak
116,"Partly cloudy","Partly cloudy","Delimično oblačno","Delimično oblačno",sr,Serbian
116,"Partly cloudy","Partly cloudy","Växlande molnighet","Växlande molnighet",sv,Swedish
116,"Partly cloudy","Partly cloudy","கொஞ்சம் மேகமூட்டம்","கொஞ்சம் மேகமூட்டம்",ta,Tamil
116,"Partly cloudy","Partly cloudy","పాక్షికంగా మేఘావృతం","పాక్షికంగా మేఘావృతం",te,Telugu
116,"Partly cloudy","Partly cloudy","Parçalı Bulutlu","Parçalı Bulutlu",tr,Turkish
116,"Partly cloudy","Partly cloudy","Невелика хмарність","Невелика хмарність",uk,Ukrainian
116,"Partly cloudy","Partly cloudy","تھوڑے بادلوں والا","تھوڑے بادلوں والا",ur,Urdu
116,"Partly cloudy","Partly cloudy","Có Mây","Có Mây",vi,Vietnamese
116,"Partly cloudy","Partly cloudy",局部多云,局部多云,zh,"Chinese Simplified"
116,"Partly cloudy","Partly cloudy",局部多云,局部多云,zh_cmn,Mandarin
116,"Partly cloudy","Partly cloudy",局部多云,局部多云,zh_hsn,Xiang
116,"Partly cloudy","Partly cloudy",局部多雲,局部多雲,zh_tw,"Chinese Traditional"
116,"Partly cloudy","Partly cloudy",撅部兜云,撅部兜云,zh_wuu,"Wu (Shanghainese)"
116,"Partly cloudy","Partly cloudy",局部多雲,局部多雲,zh_yue,"Yue (Cantonese)"
116,"Partly cloudy","Partly cloudy","Lithe gqwa gqwa ngamafu","Lithe gqwa gqwa ngamafu",zu,Zulu
119,Cloudy,Cloudy,غائم,غائم,ar,Arabic
119,Cloudy,Cloudy,Облачно,Облачно,bg,Bulgarian
119,Cloudy,Cloudy,মেঘলা,মেঘলা,bn,Bengali
119,Cloudy,Cloudy,Oblačno,Oblačno,cs,Czech
119,Cloudy,Cloudy,Skyet,Skyet,da,Danish
119,Cloudy,Cloudy,bewölkt,bewölkt,de,German
119,Cloudy,Cloudy,Συννεφιά,Συννεφιά,el,Greek
119,Cloudy,Cloudy,Nublado,Nublado,es,Spanish
119,Cloudy,Cloudy,Pilvinen,Pilvinen,fi,Finnish
119,Cloudy,Cloudy,Nuageux,Nuageux,fr,French
119,Cloudy,Cloudy,"बादलों से भरा","बादलों से भरा",hi,Hindi
119,Cloudy,Cloudy,Felhős,Felhős,hu,Hungarian
119,Cloudy,Cloudy,Nuvoloso,Nuvoloso,it,Italian
119,Cloudy,Cloudy,曇り,曇り,ja,Japanese
119,Cloudy,Cloudy,Mendhung,Mendhung,jv,Javanese
119,Cloudy,Cloudy,"구름 낀","구름 낀",ko,Korean
119,Cloudy,Cloudy,ढगाळ,ढगाळ,mr,Marathi
119,Cloudy,Cloudy,Bewolkt,Bewolkt,nl,Dutch
119,Cloudy,Cloudy,ਬੱਦਲਵਾਈ,ਬੱਦਲਵਾਈ,pa,Punjabi
119,Cloudy,Cloudy,Zachmurzenie,Zachmurzenie,pl,Polish
119,Cloudy,Cloudy,Nublado,Nublado,pt,Portuguese
119,Cloudy,Cloudy,Noros,Noros,ro,Romanian
119,Cloudy,Cloudy,Облачно,Облачно,ru,Russian
119,Cloudy,Cloudy,"වළාකුළු සහිත","වළාකුළු සහිත",si,Sinhalese
119,Cloudy,Cloudy,Oblačno,Oblačno,sk,Slovak
119,Cloudy,Cloudy,Oblačno,Oblačno,sr,Serbian
119,Cloudy,Cloudy,Molnigt,Molnigt,sv,Swedish
119,Cloudy,Cloudy,மேகமூட்டம்,மேகமூட்டம்,ta,Tamil
119,Cloudy,Cloudy,మేఘావృతం,మేఘావృతం,te,Telugu
119,Cloudy,Cloudy,Bulutlu,Bulutlu,tr,Turkish
119,Cloudy,Cloudy,Хмарно,Хмарно,uk,Ukrainian
119,Cloudy,Cloudy,"بادلوں والا","بادلوں والا",ur,Urdu
119,Cloudy,Cloudy,"Nhiều mây","Nhiều mây",vi,Vietnamese
119,Cloudy,Cloudy,多云,多云,zh,"Chinese Simplified"
119,Cloudy,Cloudy,多云,多云,zh_cmn,Mandarin
119,Cloudy,Cloudy,多云,多云,zh_hsn,Xiang
119,Cloudy,Cloudy,多雲,多雲,zh_tw,"Chinese Traditional"
119,Cloudy,Cloudy,兜云,兜云,zh_wuu,"Wu (Shanghainese)"
119,Cloudy,Cloudy,多雲,多雲,zh_yue,"Yue (Cantonese)"
119,Cloudy,Cloudy,Linamafu,Linamafu,zu,Zulu
122,Overcast,Overcast,"ملبَد بالغيوم","ملبَد بالغيوم",ar,Arabic
122,Overcast,Overcast,"Плътна облачност","Плътна облачност",bg,Bulgarian
122,Overcast,Overcast,মেঘাচ্ছন্ন,মেঘাচ্ছন্ন,bn,Bengali
122,Overcast,Overcast,Zataženo,Zataženo,cs,Czech
122,Overcast,Overcast,Overskyet,Overskyet,da,Danish
122,Overcast,Overcast,bedeckt,bedeckt,de,German
122,Overcast,Overcast,Νεφελώδης,Νεφελώδης,el,Greek
122,Overcast,Overcast,"Cielo cubierto","Cielo cubierto",es,Spanish
122,Overcast,Overcast,"Täysin pilvinen","Täysin pilvinen",fi,Finnish
122,Overcast,Overcast,Couvert,Couvert,fr,French
122,Overcast,Overcast,"बादलों से घिरा","बादलों से घिरा",hi,Hindi
122,Overcast,Overcast,Borús,Borús,hu,Hungarian
122,Overcast,Overcast,Coperto,Coperto,it,Italian
122,Overcast,Overcast,本曇り,本曇り,ja,Japanese
122,Overcast,Overcast,"Mendhung peteng","Mendhung peteng",jv,Javanese
122,Overcast,Overcast,흐린,흐린,ko,Korean
122,Overcast,Overcast,मेघाच्छादित,मेघाच्छादित,mr,Marathi
122,Overcast,Overcast,"Geheel bewolkt","Geheel bewolkt",nl,Dutch
122,Overcast,Overcast,"ਘਿਰਿਆ ਹੋਇਆ","ਘਿਰਿਆ ਹੋਇਆ",pa,Punjabi
122,Overcast,Overcast,Pochmurno,Pochmurno,pl,Polish
122,Overcast,Overcast,Encoberto,Encoberto,pt,Portuguese
122,Overcast,Overcast,"Cer acoperit","Cer acoperit",ro,Romanian
122,Overcast,Overcast,Пасмурно,Пасмурно,ru,Russian
122,Overcast,Overcast,"වළාකුලින් අඳුරු වූ","වළාකුලින් අඳුරු වූ",si,Sinhalese
122,Overcast,Overcast,Zamračené,Zamračené,sk,Slovak
122,Overcast,Overcast,Naoblačenje,Naoblačenje,sr,Serbian
122,Overcast,Overcast,Mulet,Mulet,sv,Swedish
122,Overcast,Overcast,மேகம்சூழ்ந்தது,மேகம்சூழ்ந்தது,ta,Tamil
122,Overcast,Overcast,మబ్బుకమ్ము,మబ్బుకమ్ము,te,Telugu
122,Overcast,Overcast,"Çok bulutlu","Çok bulutlu",tr,Turkish
122,Overcast,Overcast,"Суцільна хмарність","Суцільна хмарність",uk,Ukrainian
122,Overcast,Overcast,"بدلی چھا جانا","بدلی چھا جانا",ur,Urdu
122,Overcast,Overcast,"U ám","U ám",vi,Vietnamese
122,Overcast,Overcast,阴天,阴天,zh,"Chinese Simplified"
122,Overcast,Overcast,阴天,阴天,zh_cmn,Mandarin
122,Overcast,Overcast,阴天,阴天,zh_hsn,Xiang
122,Overcast,Overcast,陰天,陰天,zh_tw,"Chinese Traditional"
122,Overcast,Overcast,兜云,兜云,zh_wuu,"Wu (Shanghainese)"
122,Overcast,Overcast,陰天,陰天,zh_yue,"Yue (Cantonese)"
122,Overcast,Overcast,Liguqubele,Liguqubele,zu,Zulu
143,Mist,Mist,سديم,سديم,ar,Arabic
143,Mist,Mist,"Лека мъгла","Лека мъгла",bg,Bulgarian
143,Mist,Mist,"হাল্কা কুয়াশা","হাল্কা কুয়াশা",bn,Bengali
143,Mist,Mist,Opar,Opar,cs,Czech
143,Mist,Mist,TÅ’gedis,TÅ’gedis,da,Danish
143,Mist,Mist,"leichter Nebel","leichter Nebel",de,German
143,Mist,Mist,Ομίχλη,Ομίχλη,el,Greek
143,Mist,Mist,Neblina,Neblina,es,Spanish
143,Mist,Mist,Sumuinen,Sumuinen,fi,Finnish
143,Mist,Mist,Brume,Brume,fr,French
143,Mist,Mist,कोहरा,कोहरा,hi,Hindi
143,Mist,Mist,"Gyenge köd","Gyenge köd",hu,Hungarian
143,Mist,Mist,Foschia,Foschia,it,Italian
143,Mist,Mist,もや,もや,ja,Japanese
143,Mist,Mist,Pedhut,Pedhut,jv,Javanese
143,Mist,Mist,안개,안개,ko,Korean
143,Mist,Mist,धुके,धुके,mr,Marathi
143,Mist,Mist,Mist,Mist,nl,Dutch
143,Mist,Mist,ਕੋਹਰਾ,ਕੋਹਰਾ,pa,Punjabi
143,Mist,Mist,Zamglenie,Zamglenie,pl,Polish
143,Mist,Mist,Neblina,Neblina,pt,Portuguese
143,Mist,Mist,Ceață,Ceață,ro,Romanian
143,Mist,Mist,Дымка,Дымка,ru,Russian
143,Mist,Mist,මීදුම,මීදුම,si,Sinhalese
143,Mist,Mist,Opar,Opar,sk,Slovak
143,Mist,Mist,Sumaglica,Sumaglica,sr,Serbian
143,Mist,Mist,Fuktdis,Fuktdis,sv,Swedish
143,Mist,Mist,பனிமூட்டம்,பனிமூட்டம்,ta,Tamil
143,Mist,Mist,పొగమంచు,పొగమంచు,te,Telugu
143,Mist,Mist,Sisli,Sisli,tr,Turkish
143,Mist,Mist,Туман,Туман,uk,Ukrainian
143,Mist,Mist,کہر,کہر,ur,Urdu
143,Mist,Mist,"Sương mù","Sương mù",vi,Vietnamese
143,Mist,Mist,薄雾,薄雾,zh,"Chinese Simplified"
143,Mist,Mist,薄雾,薄雾,zh_cmn,Mandarin
143,Mist,Mist,有薄雾,有薄雾,zh_hsn,Xiang
143,Mist,Mist,薄霧,薄霧,zh_tw,"Chinese Traditional"
143,Mist,Mist,悠波吴,悠波吴,zh_wuu,"Wu (Shanghainese)"
143,Mist,Mist,薄霧,薄霧,zh_yue,"Yue (Cantonese)"
143,Mist,Mist,Kunenkungu,Kunenkungu,zu,Zulu
176,"Patchy rain possible","Patchy rain possible","أمطار متفاوتة قريبة","أمطار متفاوتة قريبة",ar,Arabic
176,"Patchy rain possible","Patchy rain possible","Дъждове на отделни места в околността","Дъждове на отделни места в околността",bg,Bulgarian
176,"Patchy rain possible","Patchy rain possible","পার্শ্ববর্তী এলাকায় অনিয়মিত বৃষ্টিপাত","পার্শ্ববর্তী এলাকায় অনিয়মিত বৃষ্টিপাত",bn,Bengali
176,"Patchy rain possible","Patchy rain possible","Místy blízký déšť","Místy blízký déšť",cs,Czech
176,"Patchy rain possible","Patchy rain possible","Stedvis regn","Stedvis regn",da,Danish
176,"Patchy rain possible","Patchy rain possible","stellenweise Regenfall","stellenweise Regenfall",de,German
176,"Patchy rain possible","Patchy rain possible","Κατά τόπους βροχή σε κοντινή απόσταση","Κατά τόπους βροχή σε κοντινή απόσταση",el,Greek
176,"Patchy rain possible","Patchy rain possible","Lluvia  moderada a intervalos","Lluvia  moderada a intervalos",es,Spanish
176,"Patchy rain possible","Patchy rain possible","Hajanaista sadetta lähellä","Hajanaista sadetta lähellä",fi,Finnish
176,"Patchy rain possible","Patchy rain possible","Pluie éparse à proximité","Pluie éparse à proximité",fr,French
176,"Patchy rain possible","Patchy rain possible","आसपास अलग-अलग इलाकों में वारिश","आसपास अलग-अलग इलाकों में वारिश",hi,Hindi
176,"Patchy rain possible","Patchy rain possible","A közelben eső","A közelben eső",hu,Hungarian
176,"Patchy rain possible","Patchy rain possible","Pioggia a tratti nelle vicinanze","Pioggia a tratti nelle vicinanze",it,Italian
176,"Patchy rain possible","Patchy rain possible",近くで所により雨,近くで所により雨,ja,Japanese
176,"Patchy rain possible","Patchy rain possible","Udan ora rata ing sacedhake","Udan ora rata ing sacedhake",jv,Javanese
176,"Patchy rain possible","Patchy rain possible","근처 곳곳에 비","근처 곳곳에 비",ko,Korean
176,"Patchy rain possible","Patchy rain possible","आजूबाजूला अनियमित पाऊस","आजूबाजूला अनियमित पाऊस",mr,Marathi
176,"Patchy rain possible","Patchy rain possible","Plaatselijke regen in de omgeving","Plaatselijke regen in de omgeving",nl,Dutch
176,"Patchy rain possible","Patchy rain possible","ਨੇੜੇ ਕਿਤੇ-ਕਿਤੇ ਮੀਂਹ","ਨੇੜੇ ਕਿਤੇ-ਕਿਤੇ ਮੀਂਹ",pa,Punjabi
176,"Patchy rain possible","Patchy rain possible","Miejscowe opady deszczu w pobliżu","Miejscowe opady deszczu w pobliżu",pl,Polish
176,"Patchy rain possible","Patchy rain possible","Possibilidade de chuva irregular","Possibilidade de chuva irregular",pt,Portuguese
176,"Patchy rain possible","Patchy rain possible","Ploi pe porţiuni în apropiere","Ploi pe porţiuni în apropiere",ro,Romanian
176,"Patchy rain possible","Patchy rain possible","Местами дождь","Местами дождь",ru,Russian
176,"Patchy rain possible","Patchy rain possible","ආසන්නයේ තැනින් තැන වැසි","ආසන්නයේ තැනින් තැන වැසි",si,Sinhalese
176,"Patchy rain possible","Patchy rain possible","Miestami blízky dážď","Miestami blízky dážď",sk,Slovak
176,"Patchy rain possible","Patchy rain possible","Mestimična kiša","Mestimična kiša",sr,Serbian
176,"Patchy rain possible","Patchy rain possible","Områden med regn i närheten","Områden med regn i närheten",sv,Swedish
176,"Patchy rain possible","Patchy rain possible","அருகில் சீரில்லாத மழை","அருகில் சீரில்லாத மழை",ta,Tamil
176,"Patchy rain possible","Patchy rain possible","చెదురుమదురుగా దగ్గరల్లో వర్షం","చెదురుమదురుగా దగ్గరల్లో వర్షం",te,Telugu
176,"Patchy rain possible","Patchy rain possible","Bölgesel düzensiz yağmur yağışlı","Bölgesel düzensiz yağmur yağışlı",tr,Turkish
176,"Patchy rain possible","Patchy rain possible","Місцями дощ","Місцями дощ",uk,Ukrainian
176,"Patchy rain possible","Patchy rain possible","قریب میں جہاں تہاں بارش","قریب میں جہاں تہاں بارش",ur,Urdu
176,"Patchy rain possible","Patchy rain possible","Mưa lả tả gần đó","Mưa lả tả gần đó",vi,Vietnamese
176,"Patchy rain possible","Patchy rain possible",周边有零星小雨,周边有零星小雨,zh,"Chinese Simplified"
176,"Patchy rain possible","Patchy rain possible",周边有零星小雨,周边有零星小雨,zh_cmn,Mandarin
176,"Patchy rain possible","Patchy rain possible",附近有零星雨,附近有零星雨,zh_hsn,Xiang
176,"Patchy rain possible","Patchy rain possible",週边有零星小雨,週边有零星小雨,zh_tw,"Chinese Traditional"
176,"Patchy rain possible","Patchy rain possible",无尽撅部落鱼,无尽撅部落鱼,zh_wuu,"Wu (Shanghainese)"
176,"Patchy rain possible","Patchy rain possible",週边有零星小雨,週边有零星小雨,zh_yue,"Yue (Cantonese)"
176,"Patchy rain possible","Patchy rain possible","Kunezihlamvana zemvula lapha nalapha eduze","Kunezihlamvana zemvula lapha nalapha eduze",zu,Zulu
179,"Patchy snow possible","Patchy snow possible","ثلوج متفاوتة قريبة","ثلوج متفاوتة قريبة",ar,Arabic
179,"Patchy snow possible","Patchy snow possible","Снеговалежи на отделни места в околността","Снеговалежи на отделни места в околността",bg,Bulgarian
179,"Patchy snow possible","Patchy snow possible","পার্শ্ববর্তী এলাকায় অনিয়মিত তুষারপাত","পার্শ্ববর্তী এলাকায় অনিয়মিত তুষারপাত",bn,Bengali
179,"Patchy snow possible","Patchy snow possible","Místy blízké sněžení","Místy blízké sněžení",cs,Czech
179,"Patchy snow possible","Patchy snow possible","Stedvis sne","Stedvis sne",da,Danish
179,"Patchy snow possible","Patchy snow possible","stellenweise Schneefall","stellenweise Schneefall",de,German
179,"Patchy snow possible","Patchy snow possible","Κατά τόπους χιονόπτωση σε κοντινή απόσταση","Κατά τόπους χιονόπτωση σε κοντινή απόσταση",el,Greek
179,"Patchy snow possible","Patchy snow possible","Nieve moderada a intervalos en las aproximaciones","Nieve moderada a intervalos en las aproximaciones",es,Spanish
179,"Patchy snow possible","Patchy snow possible","Hajanaista lumisadetta lähellä","Hajanaista lumisadetta lähellä",fi,Finnish
179,"Patchy snow possible","Patchy snow possible","Neige éparse à proximité","Neige éparse à proximité",fr,French
179,"Patchy snow possible","Patchy snow possible","आसपास अलग-अलग इलाकों में हिमपात","आसपास अलग-अलग इलाकों में हिमपात",hi,Hindi
179,"Patchy snow possible","Patchy snow possible","A közelben foltokban havazás","A közelben foltokban havazás",hu,Hungarian
179,"Patchy snow possible","Patchy snow possible","Neve a tratti nelle vicinanze","Neve a tratti nelle vicinanze",it,Italian
179,"Patchy snow possible","Patchy snow possible",近くで所により雪,近くで所により雪,ja,Japanese
179,"Patchy snow possible","Patchy snow possible","Udan salju ora rata ing sacedhake","Udan salju ora rata ing sacedhake",jv,Javanese
179,"Patchy snow possible","Patchy snow possible","근처 곳곳에 눈","근처 곳곳에 눈",ko,Korean
179,"Patchy snow possible","Patchy snow possible","आजूबाजूला अनियमित बर्फ","आजूबाजूला अनियमित बर्फ",mr,Marathi
179,"Patchy snow possible","Patchy snow possible","Plaatselijke sneeuw in de omgeving","Plaatselijke sneeuw in de omgeving",nl,Dutch
179,"Patchy snow possible","Patchy snow possible","ਨੇੜੇ ਕਿਤੇ-ਕਿਤੇ ਬਰਫ","ਨੇੜੇ ਕਿਤੇ-ਕਿਤੇ ਬਰਫ",pa,Punjabi
179,"Patchy snow possible","Patchy snow possible","Miejscowe opady śniegu w pobliżu","Miejscowe opady śniegu w pobliżu",pl,Polish
179,"Patchy snow possible","Patchy snow possible","Possibilidade de neve irregular","Possibilidade de neve irregular",pt,Portuguese
179,"Patchy snow possible","Patchy snow possible","Ninsori pe porţiuni în apropiere","Ninsori pe porţiuni în apropiere",ro,Romanian
179,"Patchy snow possible","Patchy snow possible","Местами снег","Местами снег",ru,Russian
179,"Patchy snow possible","Patchy snow possible","ආසන්නයේ තැනින් තැන හිම","ආසන්නයේ තැනින් තැන හිම",si,Sinhalese
179,"Patchy snow possible","Patchy snow possible","Miestami blízke sneženie","Miestami blízke sneženie",sk,Slovak
179,"Patchy snow possible","Patchy snow possible","Mestimične snežne padavine","Mestimične snežne padavine",sr,Serbian
179,"Patchy snow possible","Patchy snow possible","Områden med snö i närheten","Områden med snö i närheten",sv,Swedish
179,"Patchy snow possible","Patchy snow possible","அருகில் சீரில்லாத பனிமழை","அருகில் சீரில்லாத பனிமழை",ta,Tamil
179,"Patchy snow possible","Patchy snow possible","చెదురుమదురుగా దగ్గరల్లో మంచు","చెదురుమదురుగా దగ్గరల్లో మంచు",te,Telugu
179,"Patchy snow possible","Patchy snow possible","Bölgesel düzensiz kar yağışlı","Bölgesel düzensiz kar yağışlı",tr,Turkish
179,"Patchy snow possible","Patchy snow possible","Місцями сніг","Місцями сніг",uk,Ukrainian
179,"Patchy snow possible","Patchy snow possible","قریب میں جہاں تہاں برفباری","قریب میں جہاں تہاں برفباری",ur,Urdu
179,"Patchy snow possible","Patchy snow possible","Tuyết rơi lả tả gần đó","Tuyết rơi lả tả gần đó",vi,Vietnamese
179,"Patchy snow possible","Patchy snow possible",周边有零星小雪,周边有零星小雪,zh,"Chinese Simplified"
179,"Patchy snow possible","Patchy snow possible",周边有零星小雪,周边有零星小雪,zh_cmn,Mandarin
179,"Patchy snow possible","Patchy snow possible",附近有零星雪,附近有零星雪,zh_hsn,Xiang
179,"Patchy snow possible","Patchy snow possible",週边有零星小雪,週边有零星小雪,zh_tw,"Chinese Traditional"
179,"Patchy snow possible","Patchy snow possible",无尽撅部落削,无尽撅部落削,zh_wuu,"Wu (Shanghainese)"
179,"Patchy snow possible","Patchy snow possible",週边有零星小雪,週边有零星小雪,zh_yue,"Yue (Cantonese)"
179,"Patchy snow possible","Patchy snow possible","Liyakhithika lapha nalapha eduze","Liyakhithika lapha nalapha eduze",zu,Zulu
182,"Patchy sleet possible","Patchy sleet possible","صقيع متفاوت قريب","صقيع متفاوت قريب",ar,Arabic
182,"Patchy sleet possible","Patchy sleet possible","Суграшици на отделни места в околността","Суграшици на отделни места в околността",bg,Bulgarian
182,"Patchy sleet possible","Patchy sleet possible","পার্শ্ববর্তী এলাকায় অনিয়মিত বৃষ্টি সহ তুষারপাত","পার্শ্ববর্তী এলাকায় অনিয়মিত বৃষ্টি সহ তুষারপাত",bn,Bengali
182,"Patchy sleet possible","Patchy sleet possible","Místy blízký déšť se sněhem","Místy blízký déšť se sněhem",cs,Czech
182,"Patchy sleet possible","Patchy sleet possible","Stedvis slud og tÂ¿sne","Stedvis slud og tÂ¿sne",da,Danish
182,"Patchy sleet possible","Patchy sleet possible","stellenweise Eisregen","stellenweise Eisregen",de,German
182,"Patchy sleet possible","Patchy sleet possible","Κατά τόπους χιονόνερο σε κοντινή απόσταση","Κατά τόπους χιονόνερο σε κοντινή απόσταση",el,Greek
182,"Patchy sleet possible","Patchy sleet possible","Aguanieve moderada a intervalos en las aproximaciones","Aguanieve moderada a intervalos en las aproximaciones",es,Spanish
182,"Patchy sleet possible","Patchy sleet possible","Hajanaista räntäsadetta lähellä","Hajanaista räntäsadetta lähellä",fi,Finnish
182,"Patchy sleet possible","Patchy sleet possible","Grésil épars à proximité","Grésil épars à proximité",fr,French
182,"Patchy sleet possible","Patchy sleet possible","आसपास ओलों के साथ मामूली बारिश","आसपास ओलों के साथ मामूली बारिश",hi,Hindi
182,"Patchy sleet possible","Patchy sleet possible","A közelben foltokban dara","A közelben foltokban dara",hu,Hungarian
182,"Patchy sleet possible","Patchy sleet possible","Nevischio a tratti nelle vicinanze","Nevischio a tratti nelle vicinanze",it,Italian
182,"Patchy sleet possible","Patchy sleet possible",近くで所によりみぞれ,近くで所によりみぞれ,ja,Japanese
182,"Patchy sleet possible","Patchy sleet possible","Udan es lan salju ing sacedhake","Udan es lan salju ing sacedhake",jv,Javanese
